Move,Next Moves,Opening Name
start,"g1h3,a2a3,f2f3,h2h3,g2g4,g2g3,h2h4,d2d3,b2b4,c2c3,b1a3,b1c3,e2e3,a2a4,b2b3,f2f4,g1f3,c2c4,d2d4,e2e4",default
['g1h3'],d7d5,Amar Opening
['a2a3'],"a7a5,e7e5",Anderssen's Opening
['f2f3'],"e7e5,f7f5,d7d5",Barnes Opening
['h2h3'],"h7h5,e7e5,d7d5",Clemenz Opening
['g2g4'],"f7f5,g7g5,d7d5,e7e5",Grob Opening
['g2g3'],"f7f5,g8f6,g7g5,c7c5,g7g6,h7h5,e7e5,d7d5,b8c6",Hungarian Opening
['h2h4'],"g7g5,d7d5,c7c5,e7e5,f7f5",KÃ¡das Opening
['d2d3'],"e7e5,g7g6,c7c5",Mieses Opening
['b2b4'],"c7c5,f7f5,b8c6,g8h6,c7c6,b7b5,e7e5,d7d5,g8f6,e7e6",Polish Opening
['c2c3'],,Saragossa Opening
['b1a3'],"g7g6,e7e5",Sodium Attack
['b1c3'],"b7b5,e7e5,c7c5,g7g6,g8f6,d7d5,f7f5,d7d6",Van Geet Opening
['e2e3'],e7e5,Van't Kruijs Opening
['a2a4'],"e7e5,b7b5",Ware Opening
['b2b3'],"d7d5,f7f5,c7c5,g8f6,e7e5,b7b5,b7b6",Nimzo-Larsen Attack
['f2f4'],"g8f6,e7e5,g7g5,g8h6,b7b5,d7d5,f7f5,h7h6",Bird Opening
['g1f3'],"f7f6,h7h6,b8c6,f7f5,g7g5,g7g6,d7d6,b7b5,e7e6,b7b6,e7e5,c7c5,c7c6,a7a6,a7a5,g8f6,d7d5,g8h6,b8a6",Zukertort Opening
['c2c4'],"f7f5,b8c6,d7d5,g7g6,b7b5,g7g5,c7c6,e7e6,g8f6,e7e5,c7c5",English Opening
['d2d4'],"b8a6,g7g5,b7b6,e7e5,e7e6,b8c6,b7b5,g7g6,d7d6,c7c5,g8f6,f7f5,d7d5,c7c6",Queen's Pawn Game
['e2e4'],"f7f6,g7g5,h7h6,f7f5,h7h5,g8h6,b8a6,b8c6,b7b6,d7d6,a7a6,a7a5,d7d5,g8f6,g7g6,c7c6,c7c5,e7e6,e7e5",King's Pawn